Learning Rate,Depth,Iterations,RMSE,NRMSE
0.05,6,500,89.87714483005712,0.08399733161687581
0.05,6,1000,88.54978392973833,0.0827568074109704
0.05,8,500,87.2982484262539,0.08158714806191954
0.05,8,1000,85.68411960570562,0.08007861645393048
0.1,6,500,88.65589282839218,0.082855974605974
0.1,6,1000,87.41796208317035,0.08169902998427135
0.1,8,500,86.08342766813192,0.08045180155900179
0.1,8,1000,84.68546327710989,0.0791452927823457
