Learning Rate,Epochs,Threshold,Accuracy
0.1,500,0.4,0.9996622192197264
0.1,500,0.5,0.9996622192197264
0.1,1000,0.4,0.9996622192197264
0.1,1000,0.5,0.9996622192197264
1.0,500,0.4,0.9996622192197264
1.0,500,0.5,0.9996622192197264
1.0,1000,0.4,0.9996622192197264
1.0,1000,0.5,0.9996622192197264
